COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)	stratify_col
diclofenac	15 day	Low	676.0	14.5	41.5	61.4	21.4	34.8	4.2	109.3	72.9	19.0	1.0	0.0	2.0	78.0	12.3	22.2	207.0	777.0	87.0	84.0	171.0	0.13	0.08	205.0	18.0	0.5	141.0	3.9	103.0	10.7	7.8	6.0	3.6	1.5	62.0	27.0	240.0	0.0	diclofenac_15 day_Low
diclofenac	15 day	Low	720.0	14.8	41.1	57.1	20.6	36.1	3.5	117.6	107.7	9.0	1.0	0.0	3.0	85.0	12.0	18.6	231.0	1030.0	87.0	160.0	187.0	0.15	0.1	202.0	17.0	0.4	142.0	3.2	103.0	10.9	8.0	5.8	3.5	1.5	68.0	33.0	171.0	0.0	diclofenac_15 day_Low
diclofenac	29 day	Low	782.0	15.8	43.4	55.5	20.2	36.4	1.7	104.7	90.5	10.0	1.0	0.0	1.0	86.0	12.6	21.9	225.0	623.0	66.0	123.0	142.0	0.17	0.1	215.0	17.0	0.5	140.0	3.6	101.0	9.8	6.2	5.9	3.4	1.4	57.0	28.0	178.0	0.0	diclofenac_29 day_Low
diclofenac	29 day	Low	772.0	16.1	44.0	57.0	20.8	36.5	1.9	119.4	116.6	12.0	2.0	0.0	2.0	84.0	12.8	20.7	222.0	660.0	60.0	126.0	135.0	0.14	0.1	224.0	13.0	0.4	142.0	3.7	105.0	10.5	6.3	6.3	3.5	1.3	74.0	34.0	227.0	0.0	diclofenac_29 day_Low
diclofenac	29 day	Low	871.0	17.2	47.8	54.8	19.7	36.0	1.6	113.7	77.7	15.0	2.0	0.0	2.0	81.0	12.5	20.6	225.0	680.0	70.0	140.0	156.0	0.15	0.07	230.0	17.0	0.4	141.0	3.6	105.0	10.1	6.9	6.2	3.6	1.4	63.0	32.0	156.0	0.0	diclofenac_29 day_Low
diclofenac	29 day	Low	776.0	15.2	42.7	55.1	19.5	35.5	1.8	80.5	83.7	25.0	1.0	0.0	3.0	69.0	12.8	20.1	231.0	618.0	66.0	150.0	150.0	0.14	0.09	213.0	16.0	0.3	141.0	3.5	102.0	10.1	6.9	6.1	3.1	1.0	60.0	29.0	94.0	1.0	diclofenac_29 day_Low
diclofenac	29 day	Low	780.0	15.7	43.5	55.8	20.2	36.1	2.2	123.7	108.5	15.0	1.0	0.0	3.0	80.0	12.6	17.0	212.0	472.0	54.0	105.0	124.0	0.15	0.08	197.0	15.0	0.4	141.0	3.2	102.0	10.5	7.4	6.4	3.5	1.2	53.0	24.0	172.0	0.0	diclofenac_29 day_Low
diclofenac	8 day	Middle	635.0	14.0	39.2	61.7	22.1	35.8	5.2	111.4	106.3	9.0	1.0	0.0	2.0	87.0	11.8	22.3	202.0	1175.0	75.0	157.0	155.0	0.18	0.12	198.0	16.0	0.5	141.0	4.1	103.0	10.9	6.7	5.9	3.5	1.5	63.0	39.0	139.0	0.0	diclofenac_8 day_Middle
diclofenac	8 day	Middle	620.0	13.5	38.2	61.7	21.7	35.2	5.2	124.0	112.5	15.0	1.0	0.0	2.0	81.0	12.0	19.6	205.0	1105.0	65.0	116.0	145.0	0.14	0.09	234.0	16.0	0.4	141.0	4.0	104.0	10.6	8.6	5.7	3.5	1.6	75.0	41.0	253.0	1.0	diclofenac_8 day_Middle
diclofenac	8 day	Middle	661.0	14.4	42.8	64.8	21.8	33.7	4.9	125.2	67.7	10.0	1.0	0.0	3.0	83.0	11.7	21.6	256.0	1169.0	92.0	118.0	169.0	0.18	0.11	221.0	17.0	0.4	141.0	3.9	104.0	10.9	8.2	6.0	3.6	1.5	59.0	32.0	175.0	1.0	diclofenac_8 day_Middle
diclofenac	8 day	Middle	671.0	13.9	40.7	60.6	20.7	34.2	5.1	126.9	86.3	17.0	2.0	0.0	2.0	78.0	11.7	19.2	202.0	865.0	83.0	93.0	160.0	0.14	0.09	228.0	18.0	0.4	142.0	4.0	103.0	10.4	8.3	5.8	3.5	1.5	70.0	42.0	134.0	1.0	diclofenac_8 day_Middle
diclofenac	8 day	Middle	680.0	14.2	41.2	60.6	20.9	34.5	3.3	123.0	82.6	15.0	1.0	0.0	2.0	82.0	11.8	17.3	202.0	843.0	81.0	143.0	165.0	0.13	0.08	212.0	13.0	0.4	140.0	4.3	103.0	10.7	8.0	5.8	3.3	1.3	57.0	27.0	205.0	1.0	diclofenac_8 day_Middle
diclofenac	15 day	Middle	698.0	14.7	41.0	58.7	21.1	36.0	3.1	113.4	133.0	15.0	1.0	0.0	2.0	82.0	12.7	19.5	209.0	1018.0	65.0	160.0	140.0	0.16	0.11	246.0	17.0	0.4	140.0	3.9	102.0	10.3	7.3	5.7	3.0	1.1	69.0	30.0	179.0	0.0	diclofenac_15 day_Middle
diclofenac	15 day	Middle	722.0	15.0	41.8	58.0	20.8	35.9	3.2	110.5	129.7	12.0	1.0	0.0	2.0	84.0	12.2	19.0	222.0	691.0	86.0	191.0	166.0	0.19	0.14	220.0	16.0	0.4	141.0	3.3	102.0	10.6	7.7	6.1	3.6	1.4	68.0	31.0	199.0	1.0	diclofenac_15 day_Middle
diclofenac	15 day	Middle	726.0	14.6	40.8	56.2	20.1	35.8	3.9	131.7	133.0	15.0	1.0	0.0	2.0	81.0	12.3	19.8	249.0	768.0	75.0	128.0	160.0	0.14	0.08	205.0	14.0	0.4	143.0	3.6	104.0	10.7	7.4	5.8	3.5	1.5	66.0	34.0	140.0	1.0	diclofenac_15 day_Middle
diclofenac	15 day	Middle	699.0	14.9	42.2	60.4	21.2	35.2	3.5	101.6	115.0	14.0	1.0	0.0	2.0	81.0	12.4	21.0	219.0	1064.0	63.0	122.0	150.0	0.13	0.09	199.0	17.0	0.4	142.0	3.5	102.0	10.6	8.1	5.9	3.3	1.3	70.0	36.0	259.0	1.0	diclofenac_15 day_Middle
diclofenac	15 day	Middle	682.0	14.1	40.1	58.8	20.7	35.2	3.8	123.6	74.7	15.0	1.0	0.0	3.0	80.0	12.7	19.5	231.0	634.0	70.0	78.0	140.0	0.12	0.07	251.0	15.0	0.4	140.0	3.0	103.0	10.2	7.4	5.7	3.2	1.3	81.0	44.0	217.0	1.0	diclofenac_15 day_Middle
diclofenac	29 day	Middle	820.0	16.3	45.9	55.9	19.9	35.6	2.3	100.5	132.1	11.0	1.0	0.0	2.0	86.0	13.0	19.5	214.0	466.0	54.0	52.0	113.0	0.14	0.08	217.0	17.0	0.5	144.0	3.0	106.0	10.1	6.6	6.1	3.4	1.3	58.0	31.0	181.0	1.0	diclofenac_29 day_Middle
diclofenac	29 day	Middle	780.0	15.2	42.0	53.8	19.5	36.2	2.5	115.8	101.2	12.0	1.0	0.0	2.0	83.0	13.0	19.3	214.0	560.0	66.0	96.0	142.0	0.17	0.11	198.0	15.0	0.5	141.0	3.4	103.0	10.3	7.3	6.2	3.4	1.2	65.0	34.0	212.0	0.0	diclofenac_29 day_Middle
diclofenac	29 day	Middle	820.0	15.7	43.8	53.4	19.1	35.8	2.1	126.6	65.9	13.0	1.0	0.0	3.0	83.0	13.0	18.2	238.0	846.0	58.0	142.0	137.0	0.16	0.1	215.0	16.0	0.4	141.0	3.9	104.0	10.1	7.8	6.2	3.5	1.3	56.0	27.0	155.0	0.0	diclofenac_29 day_Middle
diclofenac	29 day	Middle	749.0	15.5	42.6	56.9	20.7	36.5	2.2	98.3	83.0	11.0	1.0	0.0	3.0	84.0	12.7	20.0	198.0	539.0	59.0	75.0	123.0	0.13	0.08	241.0	16.0	0.5	138.0	3.9	102.0	10.6	6.2	6.2	3.4	1.2	56.0	32.0	121.0	1.0	diclofenac_29 day_Middle
diclofenac	29 day	Middle	777.0	16.1	44.2	56.9	20.7	36.3	2.1	110.6	106.7	15.0	1.0	0.0	3.0	80.0	12.8	18.4	217.0	682.0	63.0	88.0	136.0	0.13	0.06	235.0	19.0	0.5	140.0	3.8	102.0	10.5	7.4	6.3	3.4	1.2	70.0	44.0	216.0	1.0	diclofenac_29 day_Middle
diclofenac	8 day	High	645.0	13.6	39.3	60.9	21.1	34.6	5.9	148.2	132.4	19.0	1.0	0.0	3.0	75.0	11.5	21.9	210.0	949.0	77.0	209.0	168.0	0.17	0.12	193.0	19.0	0.4	141.0	4.4	104.0	10.5	7.9	5.4	3.3	1.6	59.0	29.0	155.0	1.0	diclofenac_8 day_High
diclofenac	8 day	High	622.0	12.8	38.6	62.0	20.5	33.2	6.0	112.7	98.1	16.0	1.0	0.0	3.0	79.0	12.0	20.7	207.0	1128.0	83.0	96.0	174.0	0.12	0.08	234.0	19.0	0.5	141.0	4.2	102.0	10.6	9.4	5.7	3.2	1.3	59.0	27.0	191.0	1.0	diclofenac_8 day_High
diclofenac	8 day	High	606.0	12.6	37.5	61.8	20.7	33.5	6.7	138.9	128.5	20.0	1.0	0.0	2.0	76.0	11.9	18.7	224.0	971.0	65.0	182.0	148.0	0.16	0.12	222.0	17.0	0.4	142.0	4.4	103.0	10.5	9.3	5.5	3.0	1.2	66.0	35.0	149.0	1.0	diclofenac_8 day_High
diclofenac	8 day	High	546.0	11.5	34.7	63.6	21.1	33.2	9.8	174.3	153.1	26.0	1.0	0.0	2.0	70.0	11.7	19.5	244.0	437.0	73.0	83.0	143.0	0.12	0.08	225.0	16.0	0.4	138.0	4.7	101.0	10.3	8.7	5.3	2.8	1.1	60.0	32.0	97.0	0.0	diclofenac_8 day_High
diclofenac	8 day	High	637.0	13.5	39.3	61.7	21.1	34.3	5.3	148.8	174.2	16.0	1.0	0.0	3.0	79.0	11.9	18.0	230.0	749.0	83.0	97.0	175.0	0.14	0.08	230.0	18.0	0.4	141.0	4.4	101.0	10.8	8.8	5.8	3.5	1.5	67.0	37.0	223.0	1.0	diclofenac_8 day_High
diclofenac	15 day	High	631.0	13.5	37.6	59.6	21.3	35.8	6.3	151.6	217.2	17.0	1.0	0.0	3.0	79.0	12.2	24.6	257.0	425.0	74.0	91.0	145.0	0.12	0.07	202.0	16.0	0.5	140.0	3.7	102.0	10.4	7.5	5.3	2.9	1.2	61.0	30.0	171.0	1.0	diclofenac_15 day_High
diclofenac	15 day	High	664.0	14.7	41.4	62.3	22.1	35.5	5.7	126.7	130.0	24.0	1.0	0.0	3.0	72.0	12.0	21.0	231.0	638.0	72.0	141.0	146.0	0.21	0.16	179.0	16.0	0.4	141.0	4.0	105.0	10.6	7.2	5.9	3.5	1.5	61.0	23.0	369.0	0.0	diclofenac_15 day_High
diclofenac	15 day	High	486.0	10.2	32.6	67.0	21.1	31.5	20.6	186.6	308.4	42.0	2.0	0.0	5.0	50.0	12.5	18.7	245.0	425.0	83.0	139.0	167.0	0.12	0.08	189.0	15.0	0.4	141.0	4.6	104.0	10.4	8.2	5.0	2.7	1.2	74.0	28.0	213.0	1.0	diclofenac_15 day_High
diclofenac	15 day	High	454.0	10.3	32.8	72.2	22.7	31.4	24.2	209.8	175.7	30.0	2.0	0.0	7.0	57.0	12.8	19.2	423.0	380.0	70.0	187.0	165.0	0.13	0.08	176.0	16.0	0.4	142.0	3.9	103.0	10.8	8.0	5.2	2.5	0.9	46.0	21.0	106.0	1.0	diclofenac_15 day_High
diclofenac	15 day	High	731.0	14.8	41.7	57.0	20.3	35.6	3.2	113.5	132.5	32.0	1.0	0.0	4.0	62.0	11.8	18.5	238.0	699.0	93.0	103.0	190.0	0.13	0.09	213.0	17.0	0.4	142.0	3.5	104.0	10.4	7.1	5.8	3.4	1.4	60.0	30.0	206.0	1.0	diclofenac_15 day_High
diclofenac	29 day	High	387.0	6.4	23.3	60.3	16.6	27.6	25.7	245.9	361.7	44.0	1.0	0.0	4.0	49.0	12.5	17.9	354.0	491.0	68.0	246.0	167.0	0.12	0.08	144.0	21.0	0.4	140.0	4.3	106.0	9.6	6.4	4.3	1.7	0.7	42.0	20.0	292.0	2.0	diclofenac_29 day_High
diclofenac	29 day	High	616.0	13.0	38.4	62.4	21.0	33.7	10.4	127.0	171.3	23.0	1.0	0.0	4.0	71.0	12.6	18.5	266.0	690.0	74.0	152.0	167.0	0.14	0.08	229.0	17.0	0.5	141.0	3.8	102.0	10.3	7.9	5.5	2.9	1.1	63.0	29.0	256.0	0.0	diclofenac_29 day_High
diclofenac	29 day	High	530.0	11.0	34.5	65.1	20.8	32.0	17.8	212.2	210.0	43.0	1.0	0.0	2.0	51.0	14.4	15.8	361.0	368.0	61.0	95.0	134.0	0.14	0.05	165.0	22.0	0.4	142.0	3.9	106.0	10.4	6.0	5.5	2.7	1.0	54.0	21.0	248.0	1.0	diclofenac_29 day_High
diclofenac	29 day	High	669.0	14.2	41.5	62.0	21.2	34.3	4.3	121.4	119.4	30.0	1.0	0.0	3.0	65.0	12.3	18.9	217.0	573.0	69.0	75.0	132.0	0.12	0.06	238.0	16.0	0.5	139.0	4.0	105.0	10.1	7.2	5.3	2.9	1.2	55.0	31.0	106.0	1.0	diclofenac_29 day_High
diclofenac	29 day	High	720.0	15.6	43.3	60.2	21.7	36.0	3.2	117.8	135.6	25.0	1.0	0.0	1.0	72.0	12.8	19.2	214.0	571.0	69.0	48.0	130.0	0.13	0.08	181.0	15.0	0.4	142.0	3.4	105.0	10.1	8.1	5.7	3.3	1.4	62.0	27.0	228.0	0.0	diclofenac_29 day_High
nitrofurantoin	8 day	Low	616.0	13.3	37.7	61.3	21.5	35.2	7.1	144.0	139.2	18.0	1.0	0.0	4.0	76.0	12.2	20.3	217.0	839.0	78.0	101.0	157.0	0.18	0.11	246.0	17.0	0.5	138.0	4.7	98.0	10.7	8.4	5.5	3.2	1.4	73.0	44.0	258.0	1.0	nitrofurantoin_8 day_Low
nitrofurantoin	8 day	Low	616.0	13.3	37.7	61.3	21.5	35.2	7.1	144.0	139.2	18.0	1.0	0.0	4.0	76.0	12.2	20.3	217.0	839.0	78.0	101.0	157.0	0.18	0.11	246.0	17.0	0.5	138.0	4.7	98.0	10.7	8.4	5.5	3.2	1.4	73.0	44.0	258.0	1.0	nitrofurantoin_8 day_Low
nitrofurantoin	8 day	Low	640.0	14.7	41.9	65.5	23.0	35.1	5.8	119.3	148.3	17.0	1.0	0.0	3.0	79.0	12.6	19.8	225.0	1134.0	72.0	149.0	153.0	0.2	0.13	180.0	18.0	0.4	140.0	4.5	101.0	10.9	7.4	5.9	3.6	1.6	70.0	33.0	266.0	1.0	nitrofurantoin_8 day_Low
nitrofurantoin	8 day	Low	640.0	14.7	41.9	65.5	23.0	35.1	5.8	119.3	148.3	17.0	1.0	0.0	3.0	79.0	12.6	19.8	225.0	1134.0	72.0	149.0	153.0	0.2	0.13	180.0	18.0	0.4	140.0	4.5	101.0	10.9	7.4	5.9	3.6	1.6	70.0	33.0	266.0	1.0	nitrofurantoin_8 day_Low
nitrofurantoin	8 day	Low	633.0	13.7	38.8	61.3	21.6	35.3	5.9	114.0	153.2	16.0	1.0	0.0	3.0	80.0	12.5	22.0	231.0	1158.0	71.0	167.0	158.0	0.2	0.14	190.0	15.0	0.4	140.0	4.3	101.0	11.2	7.0	5.8	3.6	1.6	60.0	30.0	176.0	1.0	nitrofurantoin_8 day_Low
nitrofurantoin	8 day	Low	617.0	13.7	39.2	63.5	22.2	35.0	6.2	114.9	89.9	17.0	1.0	0.0	3.0	79.0	12.9	18.5	205.0	765.0	74.0	73.0	145.0	0.15	0.09	187.0	13.0	0.3	142.0	4.2	102.0	10.9	7.8	5.6	3.4	1.5	58.0	33.0	196.0	1.0	nitrofurantoin_8 day_Low
nitrofurantoin	8 day	Low	617.0	13.7	39.2	63.5	22.2	35.0	6.2	114.9	89.9	17.0	1.0	0.0	3.0	79.0	12.9	18.5	205.0	765.0	74.0	73.0	145.0	0.15	0.09	187.0	13.0	0.3	142.0	4.2	102.0	10.9	7.8	5.6	3.4	1.5	58.0	33.0	196.0	1.0	nitrofurantoin_8 day_Low
nitrofurantoin	8 day	Low	691.0	14.1	40.0	57.9	20.3	35.2	4.9	131.3	85.1	14.0	1.0	0.0	2.0	82.0	12.7	20.0	266.0	688.0	77.0	222.0	171.0	0.23	0.18	222.0	16.0	0.4	140.0	3.7	101.0	11.1	7.2	5.9	3.7	1.7	51.0	27.0	110.0	1.0	nitrofurantoin_8 day_Low
nitrofurantoin	15 day	Low	670.0	14.1	40.8	60.9	21.1	34.6	4.9	112.5	139.8	15.0	1.0	0.0	2.0	81.0	12.3	20.8	214.0	959.0	72.0	235.0	170.0	0.2	0.15	208.0	21.0	0.5	140.0	3.8	101.0	10.7	6.8	5.7	3.4	1.5	60.0	28.0	199.0	1.0	nitrofurantoin_15 day_Low
nitrofurantoin	15 day	Low	670.0	14.1	40.8	60.9	21.1	34.6	4.9	112.5	139.8	15.0	1.0	0.0	2.0	81.0	12.3	20.8	214.0	959.0	72.0	235.0	170.0	0.2	0.15	208.0	21.0	0.5	140.0	3.8	101.0	10.7	6.8	5.7	3.4	1.5	60.0	28.0	199.0	1.0	nitrofurantoin_15 day_Low
nitrofurantoin	15 day	Low	649.0	14.0	40.1	61.8	21.6	34.9	5.5	121.2	142.1	18.0	1.0	0.0	2.0	79.0	12.1	19.2	241.0	571.0	82.0	203.0	180.0	0.21	0.16	206.0	20.0	0.5	141.0	4.0	102.0	10.9	6.8	6.1	3.5	1.3	62.0	35.0	246.0	2.0	nitrofurantoin_15 day_Low
nitrofurantoin	15 day	Low	705.0	14.9	42.2	59.8	21.1	35.3	3.4	122.2	82.0	12.0	1.0	0.0	2.0	84.0	12.5	20.3	217.0	834.0	62.0	92.0	127.0	0.14	0.09	199.0	16.0	0.4	142.0	3.6	105.0	10.4	5.8	6.2	3.7	1.5	63.0	30.0	171.0	0.0	nitrofurantoin_15 day_Low
nitrofurantoin	15 day	Low	698.0	14.6	41.9	60.0	20.9	34.7	4.0	123.6	101.7	16.0	1.0	0.0	3.0	78.0	12.3	19.3	231.0	795.0	71.0	74.0	141.0	0.13	0.08	205.0	16.0	0.5	141.0	3.6	103.0	10.8	6.7	6.2	3.9	1.7	60.0	39.0	240.0	2.0	nitrofurantoin_15 day_Low
nitrofurantoin	15 day	Low	698.0	14.6	41.9	60.0	20.9	34.7	4.0	123.6	101.7	16.0	1.0	0.0	3.0	78.0	12.3	19.3	231.0	795.0	71.0	74.0	141.0	0.13	0.08	205.0	16.0	0.5	141.0	3.6	103.0	10.8	6.7	6.2	3.9	1.7	60.0	39.0	240.0	2.0	nitrofurantoin_15 day_Low
nitrofurantoin	15 day	Low	693.0	14.0	40.8	58.9	20.3	34.4	3.9	93.5	130.3	14.0	1.0	0.0	2.0	81.0	11.9	19.2	212.0	746.0	88.0	144.0	185.0	0.15	0.09	222.0	15.0	0.4	138.0	3.6	102.0	10.6	6.5	6.1	3.6	1.4	57.0	31.0	193.0	0.0	nitrofurantoin_15 day_Low
nitrofurantoin	15 day	Low	693.0	14.0	40.8	58.9	20.3	34.4	3.9	93.5	130.3	14.0	1.0	0.0	2.0	81.0	11.9	19.2	212.0	746.0	88.0	144.0	185.0	0.15	0.09	222.0	15.0	0.4	138.0	3.6	102.0	10.6	6.5	6.1	3.6	1.4	57.0	31.0	193.0	0.0	nitrofurantoin_15 day_Low
nitrofurantoin	29 day	Low	787.0	14.7	43.0	54.6	18.7	34.3	3.3	89.9	146.9	13.0	0.0	0.0	2.0	84.0	12.3	18.8	245.0	1211.0	53.0	143.0	137.0	0.18	0.13	258.0	20.0	0.5	137.0	3.7	98.0	10.6	6.9	6.1	3.3	1.2	57.0	35.0	143.0	1.0	nitrofurantoin_29 day_Low
nitrofurantoin	29 day	Low	787.0	14.7	43.0	54.6	18.7	34.3	3.3	89.9	146.9	13.0	0.0	0.0	2.0	84.0	12.3	18.8	245.0	1211.0	53.0	143.0	137.0	0.18	0.13	258.0	20.0	0.5	137.0	3.7	98.0	10.6	6.9	6.1	3.3	1.2	57.0	35.0	143.0	1.0	nitrofurantoin_29 day_Low
nitrofurantoin	29 day	Low	718.0	15.2	42.4	59.0	21.2	35.8	2.4	98.3	196.9	8.0	1.0	0.0	2.0	88.0	13.4	20.0	217.0	474.0	61.0	75.0	122.0	0.14	0.09	205.0	13.0	0.4	140.0	3.5	103.0	10.2	5.8	5.7	3.3	1.4	53.0	25.0	143.0	0.0	nitrofurantoin_29 day_Low
nitrofurantoin	29 day	Low	718.0	15.2	42.4	59.0	21.2	35.8	2.4	98.3	196.9	8.0	1.0	0.0	2.0	88.0	13.4	20.0	217.0	474.0	61.0	75.0	122.0	0.14	0.09	205.0	13.0	0.4	140.0	3.5	103.0	10.2	5.8	5.7	3.3	1.4	53.0	25.0	143.0	0.0	nitrofurantoin_29 day_Low
nitrofurantoin	29 day	Low	744.0	15.0	43.0	57.9	20.2	34.8	2.3	102.7	99.4	12.0	1.0	0.0	2.0	85.0	12.9	20.7	214.0	610.0	63.0	62.0	127.0	0.15	0.09	210.0	16.0	0.5	141.0	3.4	106.0	10.1	6.1	6.2	3.5	1.3	73.0	35.0	158.0	2.0	nitrofurantoin_29 day_Low
nitrofurantoin	29 day	Low	767.0	15.2	43.2	56.3	19.8	35.2	2.6	108.7	100.6	11.0	2.0	0.0	3.0	83.0	12.2	20.2	214.0	706.0	89.0	152.0	182.0	0.16	0.1	218.0	18.0	0.5	140.0	3.5	102.0	10.7	6.2	6.0	3.4	1.3	58.0	37.0	104.0	1.0	nitrofurantoin_29 day_Low
nitrofurantoin	29 day	Low	779.0	14.8	43.7	56.1	19.0	33.9	2.6	99.5	159.7	17.0	1.0	0.0	2.0	79.0	12.5	19.6	212.0	681.0	65.0	91.0	136.0	0.13	0.08	229.0	16.0	0.5	140.0	3.6	103.0	10.2	6.5	5.7	3.4	1.5	55.0	31.0	137.0	1.0	nitrofurantoin_29 day_Low
nitrofurantoin	8 day	Middle	634.0	13.1	37.2	58.7	20.6	35.2	6.1	124.2	134.0	24.0	1.0	0.0	2.0	73.0	12.6	17.7	234.0	1122.0	76.0	153.0	153.0	0.2	0.15	215.0	17.0	0.4	138.0	4.1	99.0	10.9	7.4	6.0	3.3	1.2	52.0	32.0	163.0	1.0	nitrofurantoin_8 day_Middle
nitrofurantoin	8 day	Middle	665.0	13.8	39.1	58.7	20.7	35.2	4.5	120.2	157.7	13.0	1.0	0.0	3.0	83.0	12.5	19.0	234.0	1081.0	74.0	230.0	169.0	0.19	0.15	204.0	17.0	0.4	142.0	4.0	103.0	10.5	7.1	5.8	3.2	1.2	69.0	39.0	287.0	1.0	nitrofurantoin_8 day_Middle
nitrofurantoin	8 day	Middle	665.0	13.8	39.1	58.7	20.7	35.2	4.5	120.2	157.7	13.0	1.0	0.0	3.0	83.0	12.5	19.0	234.0	1081.0	74.0	230.0	169.0	0.19	0.15	204.0	17.0	0.4	142.0	4.0	103.0	10.5	7.1	5.8	3.2	1.2	69.0	39.0	287.0	1.0	nitrofurantoin_8 day_Middle
nitrofurantoin	8 day	Middle	628.0	13.8	38.2	60.8	22.0	36.2	6.1	120.6	124.7	15.0	1.0	0.0	2.0	80.0	12.2	19.4	214.0	947.0	104.0	221.0	202.0	0.23	0.18	175.0	19.0	0.4	140.0	4.4	100.0	11.1	7.9	5.9	3.6	1.6	55.0	29.0	179.0	2.0	nitrofurantoin_8 day_Middle
nitrofurantoin	8 day	Middle	629.0	13.4	37.6	59.8	21.3	35.6	4.6	125.0	67.4	15.0	1.0	0.0	2.0	82.0	12.6	17.3	219.0	879.0	79.0	115.0	161.0	0.16	0.11	205.0	20.0	0.4	141.0	4.5	104.0	10.4	6.2	5.7	3.2	1.3	55.0	25.0	225.0	1.0	nitrofurantoin_8 day_Middle
nitrofurantoin	8 day	Middle	629.0	13.4	37.6	59.8	21.3	35.6	4.6	125.0	67.4	15.0	1.0	0.0	2.0	82.0	12.6	17.3	219.0	879.0	79.0	115.0	161.0	0.16	0.11	205.0	20.0	0.4	141.0	4.5	104.0	10.4	6.2	5.7	3.2	1.3	55.0	25.0	225.0	1.0	nitrofurantoin_8 day_Middle
nitrofurantoin	8 day	Middle	615.0	13.5	38.0	61.8	22.0	35.6	5.4	138.9	118.2	10.0	1.0	0.0	2.0	87.0	12.9	18.9	214.0	796.0	70.0	97.0	135.0	0.15	0.1	189.0	15.0	0.3	141.0	4.1	103.0	10.8	7.0	5.6	3.1	1.2	57.0	28.0	111.0	1.0	nitrofurantoin_8 day_Middle
nitrofurantoin	8 day	Middle	615.0	13.5	38.0	61.8	22.0	35.6	5.4	138.9	118.2	10.0	1.0	0.0	2.0	87.0	12.9	18.9	214.0	796.0	70.0	97.0	135.0	0.15	0.1	189.0	15.0	0.3	141.0	4.1	103.0	10.8	7.0	5.6	3.1	1.2	57.0	28.0	111.0	1.0	nitrofurantoin_8 day_Middle
nitrofurantoin	15 day	Middle	683.0	14.0	41.3	60.4	20.5	33.9	4.8	108.8	115.5	14.0	0.0	0.0	2.0	83.0	12.5	19.6	214.0	882.0	72.0	161.0	154.0	0.18	0.13	208.0	15.0	0.4	140.0	3.9	102.0	10.3	7.0	5.7	3.2	1.3	56.0	33.0	184.0	1.0	nitrofurantoin_15 day_Middle
nitrofurantoin	15 day	Middle	683.0	14.0	41.3	60.4	20.5	33.9	4.8	108.8	115.5	14.0	0.0	0.0	2.0	83.0	12.5	19.6	214.0	882.0	72.0	161.0	154.0	0.18	0.13	208.0	15.0	0.4	140.0	3.9	102.0	10.3	7.0	5.7	3.2	1.3	56.0	33.0	184.0	1.0	nitrofurantoin_15 day_Middle
nitrofurantoin	15 day	Middle	646.0	13.6	39.3	60.7	21.1	34.7	4.8	102.4	134.5	11.0	1.0	0.0	2.0	86.0	12.7	18.4	222.0	611.0	99.0	146.0	191.0	0.15	0.1	233.0	18.0	0.4	140.0	3.7	102.0	10.6	6.9	5.7	3.1	1.2	52.0	31.0	226.0	1.0	nitrofurantoin_15 day_Middle
nitrofurantoin	15 day	Middle	728.0	14.7	42.5	58.3	20.2	34.5	4.4	144.3	121.7	22.0	1.0	0.0	3.0	73.0	12.1	20.2	222.0	673.0	79.0	100.0	158.0	0.15	0.1	217.0	17.0	0.4	141.0	3.7	102.0	10.3	7.5	6.0	3.3	1.2	58.0	43.0	149.0	1.0	nitrofurantoin_15 day_Middle
nitrofurantoin	15 day	Middle	728.0	14.7	42.5	58.3	20.2	34.5	4.4	144.3	121.7	22.0	1.0	0.0	3.0	73.0	12.1	20.2	222.0	673.0	79.0	100.0	158.0	0.15	0.1	217.0	17.0	0.4	141.0	3.7	102.0	10.3	7.5	6.0	3.3	1.2	58.0	43.0	149.0	1.0	nitrofurantoin_15 day_Middle
nitrofurantoin	15 day	Middle	657.0	14.1	39.8	60.6	21.4	35.3	6.2	126.9	125.1	11.0	1.0	0.0	2.0	85.0	12.4	19.6	217.0	751.0	68.0	72.0	139.0	0.14	0.08	212.0	14.0	0.4	140.0	3.4	103.0	10.1	7.0	6.0	3.7	1.6	60.0	26.0	125.0	1.0	nitrofurantoin_15 day_Middle
