,COMPOUND_NAME,SACRI_PERIOD,DOSE_LEVEL,RBC(x10_4/ul),Hb(g/dL),Ht(%),MCV(fL),MCH(pg),MCHC(%),Ret(%),Plat(x10_4/uL),WBC(x10_2/uL),Neu(%),Eos(%),Bas(%),Mono(%),Lym(%),PT(s),APTT(s),Fbg(mg/dL),ALP(IU/L),TC(mg/dL),TG(mg/dL),PL(mg/dL),TBIL(mg/dL),DBIL(mg/dL),GLC(mg/dL),BUN(mg/dL),CRE(mg/dL),Na(meq/L),K(meq/L),Cl(meq/L),Ca(mg/dL),IP(mg/dL),TP(g/dL),RALB(g/dL),A/G,AST(IU/L),ALT(IU/L),LDH(IU/L),GTP(IU/L)
3683,imipramine,15 day,High,767.0,15.4,45.8,59.8,20.1,33.6,2.4,100.6,141.8,15.0,1.0,0.0,2.0,81.0,17.1,16.8,266.0,1165.0,60.0,40.0,107.0,0.03,0.01,164.0,13.0,0.2,144.0,4.5,107.0,10.3,6.4,5.7,2.5,0.8,51.0,27.0,31.0,1.0
3684,amitriptyline,29 day,Low,830.0,15.8,46.4,55.9,19.0,33.9,2.7,99.7,156.7,18.0,1.0,1.0,3.0,77.0,16.4,32.7,303.0,1476.0,63.0,156.0,141.0,0.06,0.02,172.0,18.0,0.2,143.0,3.8,103.0,10.8,5.9,6.6,3.0,0.8,65.0,46.0,44.0,0.0
3685,phenacetin,15 day,Middle,674.0,13.7,41.2,61.1,20.4,33.4,7.8,127.8,149.1,18.0,1.0,0.0,3.0,78.0,12.6,18.0,289.0,1268.0,87.0,109.0,178.0,0.1,0.02,186.0,13.0,0.2,146.0,4.5,109.0,10.7,6.0,5.9,2.7,0.8,59.0,38.0,163.0,1.0
3686,nifedipine,15 day,Low,753.0,15.4,47.4,63.0,20.5,32.5,4.8,119.7,113.7,17.0,1.0,0.0,2.0,79.0,13.9,18.5,271.0,1433.0,63.0,92.0,142.0,0.03,0.01,175.0,16.0,0.2,144.0,4.3,106.0,11.2,7.1,5.9,2.8,0.9,74.0,40.0,41.0,1.0
3687,iproniazid,29 day,High,553.0,11.7,34.4,62.2,21.2,34.1,11.6,100.8,104.5,13.0,1.0,0.0,2.0,83.0,16.8,21.4,446.0,957.0,84.0,71.0,142.0,0.1,0.0,162.0,17.0,0.2,142.0,4.4,104.0,10.5,6.7,5.9,3.1,1.1,65.0,24.0,126.0,3.0
3688,cephalothin,15 day,High,688.0,13.8,37.9,55.1,20.1,36.5,5.0,117.9,124.1,9.0,1.0,0.0,2.0,88.0,16.2,24.5,275.0,1553.0,80.0,77.0,146.0,0.02,0.0,164.0,16.0,0.2,141.0,4.2,104.0,10.6,6.9,5.8,3.1,1.2,86.0,50.0,271.0,2.0
3689,thioridazine,29 day,Low,785.0,15.3,45.9,58.4,19.5,33.4,3.0,156.6,176.0,15.0,1.0,0.0,8.0,76.0,12.1,17.2,258.0,521.0,82.0,152.0,163.0,0.25,0.0,174.0,19.0,0.6,142.0,4.4,106.0,10.8,6.7,6.5,4.3,2.0,79.0,35.0,270.0,2.0
3690,bromoethylamine,29 day,High,792.0,15.0,41.5,52.4,18.9,36.1,2.0,127.4,86.4,11.0,1.0,0.0,2.0,86.0,15.9,24.5,351.0,1455.0,72.0,139.0,162.0,0.02,0.0,170.0,25.0,0.2,145.0,4.3,107.0,11.2,5.9,6.8,3.4,1.0,46.0,42.0,105.0,4.0
3691,nifedipine,8 day,High,768.0,14.9,45.1,58.7,19.5,33.2,3.9,150.2,100.0,22.0,1.0,0.0,5.0,71.0,14.2,16.5,266.0,1058.0,75.0,75.0,143.0,0.02,0.01,146.0,14.0,0.2,146.0,3.9,109.0,10.6,5.5,5.7,2.7,0.9,62.0,34.0,112.0,1.0
3692,acetaminophen,29 day,High,670.0,14.7,43.2,64.4,22.0,34.1,3.9,108.0,25.5,35.0,1.0,0.0,5.0,59.0,11.3,17.6,235.0,679.0,85.0,203.0,191.0,0.21,0.07,175.0,23.0,0.4,143.0,5.0,102.0,10.5,9.1,6.7,4.0,1.5,72.0,36.0,129.0,2.0
3693,aspirin,8 day,Middle,673.0,14.3,41.9,62.2,21.2,34.1,4.0,113.1,106.2,12.0,1.0,0.0,3.0,83.0,12.2,19.2,221.0,867.0,74.0,177.0,166.0,0.14,0.1,199.0,17.0,0.4,142.0,3.6,102.0,10.8,8.2,5.4,3.4,1.7,67.0,32.0,249.0,1.0
3694,mexiletine,15 day,High,614.0,12.7,39.4,64.3,20.7,32.3,8.3,101.2,65.1,24.0,1.0,0.0,3.0,71.0,17.5,22.6,275.0,1590.0,78.0,147.0,165.0,0.0,0.0,187.0,19.0,0.1,142.0,4.5,108.0,10.3,8.0,5.7,3.1,1.2,130.0,94.0,213.0,2.0
3695,nitrofurazone,8 day,High,636.0,13.8,39.2,61.6,21.6,35.1,4.1,104.3,114.9,6.0,1.0,0.0,2.0,90.0,14.1,15.0,300.0,1102.0,86.0,25.0,134.0,0.06,0.01,161.0,13.0,0.1,140.0,3.9,102.0,10.6,6.6,5.5,2.6,0.9,53.0,29.0,49.0,1.0
3696,monocrotaline,15 day,Middle,660.0,13.7,38.9,58.9,20.8,35.3,2.4,128.3,238.8,11.0,0.0,0.0,5.0,83.0,16.8,18.7,558.0,2031.0,66.0,134.0,134.0,0.0,0.0,166.0,16.0,0.2,141.0,4.3,107.0,11.6,5.4,5.7,2.6,0.8,148.0,68.0,486.0,2.0
3697,nitrosodiethylamine,8 day,Middle,685.0,15.0,43.1,63.0,21.8,34.7,3.2,139.7,78.1,9.0,1.0,1.0,2.0,87.0,12.2,18.9,204.0,883.0,73.0,61.0,128.0,0.15,0.1,171.0,12.0,0.4,143.0,4.0,106.0,10.3,8.2,5.2,3.3,1.7,71.0,35.0,160.0,1.0
3698,methapyrilene,29 day,Middle,764.0,14.4,41.7,54.6,18.9,34.6,2.3,112.9,92.0,19.0,1.0,0.0,2.0,78.0,15.9,22.4,251.0,1491.0,68.0,30.0,121.0,0.02,0.01,168.0,20.0,0.2,142.0,4.7,107.0,9.7,7.0,5.4,3.1,1.3,154.0,92.0,176.0,4.0
3699,acetaminophen,29 day,Middle,682.0,14.1,41.5,60.9,20.7,34.0,2.7,110.1,47.4,15.0,1.0,0.0,3.0,81.0,11.3,16.1,264.0,585.0,84.0,380.0,226.0,0.23,0.04,192.0,21.0,0.5,141.0,5.2,103.0,10.7,7.9,6.7,3.9,1.4,49.0,25.0,73.0,1.0
3700,fluphenazine,29 day,High,804.0,16.0,47.6,59.2,19.9,33.6,2.2,91.1,174.0,9.0,1.0,0.0,4.0,86.0,12.4,15.8,209.0,689.0,62.0,49.0,125.0,0.34,0.08,195.0,21.0,0.6,141.0,4.4,109.0,10.9,6.6,6.1,4.3,2.4,71.0,31.0,110.0,2.0
3701,chloramphenicol,29 day,High,735.0,14.6,43.3,58.9,19.9,33.8,2.0,113.3,107.1,9.0,2.0,0.0,2.0,87.0,15.9,16.8,279.0,1027.0,61.0,99.0,132.0,0.06,0.01,167.0,19.0,0.2,143.0,3.5,107.0,10.4,6.2,5.6,2.6,0.9,66.0,34.0,77.0,1.0
3702,ajmaline,15 day,Low,712.0,14.1,42.3,59.5,19.8,33.3,3.8,138.8,198.0,16.0,1.0,0.0,3.0,80.0,11.1,16.3,219.0,1190.0,74.0,61.0,142.0,0.38,0.03,196.0,20.0,0.6,141.0,4.6,105.0,10.3,7.0,5.7,3.8,2.0,65.0,34.0,85.0,2.0
3703,sulpiride,29 day,Middle,859.0,16.3,46.5,54.2,19.0,35.0,1.7,107.1,116.3,16.0,2.0,1.0,1.0,81.0,13.4,16.8,239.0,1036.0,77.0,66.0,146.0,0.07,0.0,184.0,16.0,0.2,141.0,3.7,103.0,10.7,6.4,6.3,2.9,0.9,65.0,44.0,53.0,1.0
3704,ethanol,29 day,Middle,830.0,16.0,47.7,57.5,19.2,33.5,4.8,101.6,102.0,24.0,1.0,0.0,7.0,68.0,10.8,17.1,217.0,563.0,57.0,254.0,146.0,0.33,0.0,235.0,22.0,0.6,140.0,4.2,108.0,10.4,7.1,6.1,3.7,1.5,56.0,30.0,75.0,1.0
3705,phenytoin,15 day,Middle,668.0,14.2,41.5,62.2,21.2,34.2,4.7,125.2,110.1,11.0,1.0,0.0,2.0,86.0,16.4,20.8,298.0,1446.0,68.0,142.0,137.0,0.01,0.0,173.0,17.0,0.2,142.0,4.0,108.0,10.4,6.7,5.7,3.2,1.2,58.0,36.0,120.0,2.0
3706,lomustine,8 day,High,692.0,14.7,44.3,64.0,21.3,33.2,3.6,127.2,97.4,8.0,0.0,0.0,8.0,83.0,11.1,16.8,247.0,574.0,115.0,58.0,185.0,0.29,0.0,154.0,18.0,0.5,139.0,5.0,104.0,11.1,7.5,6.2,3.8,1.6,95.0,53.0,156.0,1.0
3707,penicillamine,29 day,High,742.0,12.0,37.9,51.0,16.1,31.7,7.1,130.8,137.9,18.0,2.0,0.0,3.0,77.0,15.5,17.4,634.0,452.0,83.0,25.0,137.0,0.16,0.02,162.0,14.0,0.2,142.0,4.2,103.0,10.6,6.9,5.8,2.8,0.9,35.0,23.0,74.0,1.0
3708,chlorpropamide,15 day,Low,707.0,14.5,44.2,62.5,20.5,32.9,3.9,102.6,101.7,26.0,1.0,0.0,3.0,69.0,16.6,16.8,246.0,1657.0,78.0,112.0,153.0,0.02,0.01,177.0,18.0,0.2,142.0,4.5,103.0,10.5,7.4,5.6,2.5,0.8,75.0,44.0,162.0,1.0
3709,carbon tetrachloride,29 day,High,791.0,14.5,43.4,54.8,18.4,33.5,2.1,85.6,118.0,10.0,1.0,0.0,3.0,86.0,14.7,25.7,177.0,1575.0,32.0,10.0,89.0,0.19,0.1,155.0,17.0,0.5,142.0,4.0,105.0,10.6,6.4,5.5,3.1,1.3,604.0,495.0,658.0,2.0
3710,WY-14643,15 day,High,708.0,13.9,40.2,56.8,19.6,34.5,3.6,97.2,114.0,27.0,1.0,0.0,4.0,67.0,13.1,17.0,193.0,2192.0,83.0,41.0,165.0,0.02,0.01,185.0,21.0,0.2,142.0,3.9,106.0,10.2,5.8,6.0,2.9,0.9,85.0,58.0,122.0,1.0
3711,chlorpropamide,29 day,Low,779.0,14.6,44.0,56.5,18.7,33.1,1.9,98.0,85.6,11.0,1.0,0.0,2.0,85.0,16.6,20.5,244.0,1214.0,54.0,143.0,123.0,0.02,0.01,193.0,17.0,0.2,143.0,3.6,104.0,10.5,6.3,6.0,2.6,0.8,73.0,36.0,123.0,1.0
3712,gemfibrozil,29 day,High,747.0,15.0,41.3,55.4,20.1,36.3,3.8,133.9,111.9,21.0,1.0,0.0,5.0,72.0,12.0,17.6,299.0,1360.0,93.0,30.0,139.0,0.05,0.08,197.0,13.0,0.3,143.0,4.0,105.0,10.7,6.5,6.8,3.1,0.8,53.0,40.0,52.0,1.0
3713,phenytoin,15 day,High,702.0,13.7,40.7,57.9,19.4,33.6,4.7,140.5,123.7,15.0,1.0,0.0,2.0,81.0,16.1,23.9,282.0,1515.0,74.0,63.0,131.0,0.02,0.0,183.0,20.0,0.2,143.0,4.2,109.0,10.2,5.7,5.7,3.0,1.1,57.0,39.0,170.0,1.0
3714,penicillamine,29 day,High,795.0,12.3,37.6,47.3,15.5,32.7,4.9,148.4,133.9,14.0,1.0,0.0,4.0,80.0,16.1,19.4,637.0,530.0,68.0,40.0,130.0,0.11,0.02,164.0,14.0,0.2,145.0,3.5,105.0,10.7,6.2,6.4,2.9,0.8,43.0,46.0,61.0,1.0
3715,cyclophosphamide,15 day,Middle,700.0,13.9,40.7,58.2,19.8,34.0,3.3,102.4,34.8,17.0,1.0,0.0,5.0,74.0,14.6,23.4,276.0,1001.0,67.0,169.0,136.0,0.01,0.0,163.0,21.0,0.2,144.0,4.3,110.0,10.5,6.9,5.5,2.9,1.1,54.0,33.0,139.0,1.0
3716,furosemide,29 day,Middle,802.0,15.1,43.4,54.1,18.9,34.8,2.1,105.8,149.7,16.0,1.0,1.0,2.0,80.0,15.8,17.8,287.0,971.0,65.0,62.0,135.0,0.05,0.01,176.0,22.0,0.2,144.0,3.8,101.0,9.9,5.8,5.7,2.5,0.8,69.0,47.0,44.0,1.0
3717,triazolam,8 day,High,667.0,14.1,41.0,61.5,21.1,34.4,4.7,143.5,114.1,26.0,1.0,0.0,2.0,71.0,12.7,17.1,304.0,1113.0,91.0,74.0,165.0,0.03,0.01,169.0,15.0,0.2,143.0,4.2,106.0,11.0,6.9,5.7,2.7,0.9,68.0,51.0,62.0,1.0
3718,tacrine,8 day,Middle,675.0,13.8,39.4,58.3,20.4,35.0,6.1,124.2,119.1,19.0,0.0,0.0,3.0,77.0,15.9,22.6,306.0,1391.0,75.0,174.0,168.0,0.02,0.0,182.0,16.0,0.2,140.0,4.5,106.0,10.9,6.8,5.3,2.7,1.1,67.0,33.0,222.0,1.0
3719,mexiletine,15 day,Low,617.0,12.6,40.4,65.5,20.5,31.3,9.1,139.8,108.6,15.0,1.0,0.0,2.0,81.0,15.9,22.0,309.0,1463.0,76.0,191.0,150.0,0.0,0.0,203.0,19.0,0.2,140.0,4.4,105.0,10.9,7.3,5.9,2.9,1.0,68.0,55.0,131.0,2.0
3720,monocrotaline,15 day,Middle,660.0,13.7,38.9,58.9,20.8,35.3,2.4,128.3,238.8,11.0,0.0,0.0,5.0,83.0,16.8,18.7,558.0,2031.0,66.0,134.0,134.0,0.0,0.0,166.0,16.0,0.2,141.0,4.3,107.0,11.6,5.4,5.7,2.6,0.8,148.0,68.0,486.0,2.0
3721,phenacetin,8 day,High,572.0,11.5,36.2,63.4,20.1,31.8,10.1,134.8,159.0,42.0,0.0,1.0,3.0,54.0,13.3,34.2,265.0,2403.0,63.0,155.0,161.0,0.18,0.03,164.0,14.0,0.2,145.0,4.1,104.0,11.0,6.2,5.9,2.7,0.8,67.0,41.0,55.0,1.0
3722,bromobenzene,29 day,Low,770.0,15.3,44.3,57.5,19.9,34.6,3.0,111.2,135.7,15.0,1.0,0.0,2.0,80.0,12.4,16.2,350.0,998.0,90.0,225.0,181.0,0.03,0.02,207.0,19.0,0.2,144.0,3.6,107.0,10.8,5.2,6.7,3.0,0.8,54.0,36.0,57.0,1.0
3723,pemoline,15 day,High,686.0,14.6,42.5,62.0,21.3,34.4,5.0,99.6,70.3,30.0,1.0,0.0,2.0,66.0,12.8,16.3,258.0,1592.0,70.0,78.0,141.0,0.02,0.01,181.0,15.0,0.2,143.0,4.1,105.0,11.1,9.3,5.8,2.7,0.9,70.0,36.0,60.0,1.0
3724,terbinafine,29 day,Middle,702.0,14.1,40.3,57.4,20.1,34.9,3.6,130.6,88.1,14.0,1.0,1.0,2.0,82.0,11.9,20.9,240.0,505.0,80.0,69.0,145.0,0.16,0.08,211.0,18.0,0.6,141.0,3.6,104.0,10.4,6.9,6.1,3.6,1.4,63.0,28.0,179.0,2.0
3725,WY-14643,15 day,Middle,660.0,13.5,38.8,58.7,20.4,34.8,4.5,147.8,126.4,16.0,1.0,0.0,3.0,80.0,12.9,17.5,196.0,1970.0,67.0,69.0,149.0,0.04,0.02,207.0,23.0,0.2,142.0,4.0,103.0,10.4,5.6,6.1,2.9,0.9,71.0,42.0,145.0,1.0
3726,clomipramine,8 day,Middle,639.0,13.3,39.5,61.9,20.9,33.7,5.0,111.8,109.6,21.0,1.0,0.0,4.0,73.0,13.2,17.2,290.0,2566.0,92.0,158.0,179.0,0.05,0.04,190.0,17.0,0.2,141.0,3.9,101.0,11.1,7.4,5.7,2.6,0.8,59.0,44.0,94.0,1.0
3727,bucetin,15 day,Low,750.0,14.3,42.8,57.0,19.1,33.5,3.2,98.6,84.1,17.0,1.0,0.0,2.0,78.0,14.3,17.6,283.0,1489.0,77.0,162.0,166.0,0.06,0.02,188.0,14.0,0.2,146.0,3.4,106.0,11.3,7.3,6.2,2.8,0.8,64.0,35.0,73.0,1.0
3728,cimetidine,8 day,Low,603.0,12.8,38.8,64.3,21.1,32.9,6.1,132.1,126.1,10.0,1.0,0.0,1.0,87.0,12.3,19.4,238.0,717.0,80.0,168.0,171.0,0.16,0.12,235.0,17.0,0.4,139.0,4.2,101.0,11.0,7.1,5.7,3.3,1.4,62.0,30.0,176.0,1.0
3729,perhexiline,8 day,Low,645.0,13.2,38.6,59.8,20.4,34.1,5.1,115.9,104.5,11.0,1.0,0.0,2.0,85.0,15.9,22.0,298.0,1367.0,99.0,217.0,192.0,0.0,0.0,169.0,17.0,0.2,143.0,4.1,107.0,10.2,6.6,5.7,3.0,1.1,61.0,35.0,193.0,2.0
3730,naproxen,29 day,Middle,737.0,14.3,41.1,55.7,19.5,34.9,3.6,108.1,217.8,21.0,2.0,0.0,3.0,73.0,16.7,25.0,385.0,720.0,93.0,120.0,160.0,0.03,0.0,210.0,25.0,0.2,140.0,4.5,104.0,10.4,6.6,5.7,3.1,1.2,60.0,36.0,94.0,2.0
3731,indomethacin,15 day,High,658.0,13.5,40.4,61.4,20.5,33.4,5.8,116.8,213.0,30.0,0.0,0.0,4.0,65.0,12.2,15.9,300.0,654.0,77.0,98.0,141.0,0.24,0.0,186.0,26.0,0.7,141.0,4.4,108.0,10.5,8.5,5.9,3.7,1.7,70.0,31.0,143.0,4.0
3732,perhexiline,8 day,Low,679.0,14.5,42.1,62.1,21.3,34.4,4.3,115.5,95.2,16.0,1.0,0.0,1.0,82.0,16.4,23.7,305.0,1715.0,61.0,128.0,137.0,0.0,0.0,201.0,15.0,0.2,145.0,4.4,108.0,10.1,8.3,5.8,2.9,1.0,80.0,43.0,304.0,1.0
3733,pemoline,29 day,Middle,766.0,15.8,43.6,56.9,20.7,36.3,2.7,105.0,107.5,17.0,1.0,1.0,4.0,76.0,12.4,17.5,225.0,1268.0,62.0,181.0,125.0,0.03,0.02,164.0,18.0,0.2,144.0,4.2,105.0,11.1,7.8,6.2,2.7,0.8,77.0,41.0,72.0,1.0
3734,coumarin,15 day,High,650.0,13.0,39.1,60.1,20.0,33.3,5.6,140.3,89.3,11.0,1.0,0.0,3.0,85.0,11.4,16.9,251.0,761.0,122.0,62.0,210.0,0.11,0.02,185.0,18.0,0.6,139.0,4.9,107.0,10.8,6.9,6.3,3.9,1.6,61.0,52.0,252.0,0.0
3735,ethambutol,29 day,High,869.0,16.0,45.6,52.5,18.4,35.1,0.4,96.2,82.6,19.0,1.0,0.0,7.0,70.0,20.4,20.7,176.0,842.0,49.0,18.0,90.0,0.13,0.1,153.0,19.0,0.2,148.0,4.1,113.0,9.4,10.4,4.9,2.7,1.2,250.0,44.0,479.0,7.0
3736,isoniazid,15 day,Low,649.0,13.3,39.8,61.3,20.5,33.5,6.4,100.8,168.0,20.0,1.0,0.0,5.0,75.0,11.7,14.7,234.0,669.0,88.0,131.0,163.0,0.26,0.0,189.0,17.0,0.6,138.0,4.5,105.0,10.5,6.7,6.3,3.8,1.5,56.0,24.0,76.0,0.0
3737,adapin,8 day,Middle,607.0,12.7,36.9,60.7,20.9,34.4,5.9,113.7,91.8,18.0,1.0,0.0,3.0,78.0,13.0,22.1,313.0,1843.0,76.0,110.0,145.0,0.03,0.02,185.0,17.0,0.2,142.0,4.6,106.0,11.1,6.6,5.9,2.7,0.8,80.0,50.0,134.0,2.0
3738,imipramine,29 day,High,835.0,15.2,44.7,53.6,18.2,34.0,2.4,91.1,73.5,24.0,2.0,0.0,2.0,72.0,16.9,17.5,352.0,935.0,66.0,48.0,117.0,0.04,0.02,148.0,13.0,0.2,144.0,4.3,107.0,11.0,6.2,6.2,2.7,0.8,52.0,32.0,29.0,0.0
3739,allopurinol,8 day,Middle,649.0,14.2,42.4,65.4,21.8,33.4,6.1,134.1,139.0,7.0,0.0,0.0,5.0,87.0,11.5,16.6,244.0,951.0,92.0,258.0,196.0,0.27,0.0,200.0,21.0,0.5,139.0,4.5,107.0,11.4,7.6,6.4,4.1,1.8,59.0,27.0,75.0,0.0
3740,thioacetamide,15 day,Middle,797.0,15.0,45.6,57.3,18.8,32.9,2.9,101.7,204.0,13.0,1.0,0.0,5.0,82.0,12.7,15.9,246.0,640.0,53.0,101.0,128.0,0.2,0.02,159.0,21.0,0.6,133.0,5.2,105.0,10.4,7.3,5.9,4.0,2.1,57.0,25.0,92.0,2.0
3741,ethionamide,29 day,Middle,800.0,16.2,46.8,58.5,20.3,34.7,5.8,151.0,215.0,15.0,1.0,0.0,3.0,81.0,11.5,16.4,223.0,650.0,67.0,75.0,130.0,0.18,0.01,193.0,21.0,0.7,140.0,4.7,102.0,10.2,6.7,6.3,4.2,2.0,57.0,39.0,64.0,1.0
3742,ethinylestradiol,15 day,Middle,617.0,12.1,33.3,53.9,19.6,36.4,5.7,146.8,79.7,26.0,1.0,0.0,1.0,71.0,13.7,23.0,306.0,2955.0,25.0,35.0,86.0,0.3,0.16,155.0,16.0,0.3,146.0,4.2,108.0,10.7,5.9,6.2,2.7,0.8,50.0,28.0,136.0,1.0
3743,disulfiram,8 day,High,617.0,11.9,36.8,59.6,19.3,32.3,8.2,137.0,119.0,23.0,1.0,0.0,4.0,72.0,16.2,17.5,367.0,657.0,105.0,12.0,155.0,0.01,0.01,192.0,17.0,0.2,143.0,4.5,109.0,10.1,8.1,5.5,2.8,1.0,66.0,33.0,230.0,2.0
3744,phenobarbital,8 day,Middle,643.0,13.8,41.5,64.6,21.5,33.3,6.5,142.2,102.0,7.0,0.0,0.0,3.0,90.0,11.7,14.1,250.0,1260.0,90.0,79.0,151.0,0.31,0.03,198.0,15.0,0.6,142.0,4.7,106.0,11.2,9.8,5.8,3.4,1.4,58.0,30.0,90.0,2.0
3745,"2,4-dinitrophenol",8 day,High,693.0,14.3,42.2,61.0,20.7,33.9,4.9,131.0,146.0,10.0,1.0,0.0,4.0,85.0,12.0,17.7,265.0,971.0,62.0,118.0,129.0,0.01,0.01,179.0,17.0,0.4,141.0,4.5,105.0,11.8,7.3,5.7,4.0,2.4,64.0,37.0,77.0,1.0
3746,nifedipine,8 day,Middle,670.0,13.2,40.9,61.1,19.6,32.1,6.1,113.6,140.1,35.0,1.0,0.0,2.0,61.0,13.6,14.3,325.0,1414.0,96.0,119.0,174.0,0.02,0.01,162.0,14.0,0.2,145.0,3.9,107.0,10.7,6.8,5.8,2.7,0.9,63.0,36.0,71.0,1.0
3747,triamterene,29 day,High,780.0,14.4,42.8,54.8,18.5,33.8,2.2,144.6,99.3,22.0,1.0,0.0,2.0,74.0,13.3,20.9,330.0,1454.0,68.0,109.0,132.0,0.06,0.01,175.0,20.0,0.3,145.0,4.0,108.0,10.7,5.8,5.9,2.7,0.8,70.0,48.0,49.0,2.0
3748,perhexiline,8 day,Low,650.0,13.9,40.3,62.0,21.4,34.5,4.5,117.9,100.7,22.0,1.0,0.0,2.0,74.0,15.7,22.3,323.0,1571.0,71.0,192.0,156.0,0.01,0.0,205.0,17.0,0.2,144.0,3.9,107.0,10.2,5.7,5.7,3.1,1.2,70.0,42.0,192.0,1.0
3749,coumarin,29 day,Low,774.0,15.1,44.3,57.3,19.5,34.0,2.0,122.1,98.9,11.0,2.0,0.0,5.0,82.0,11.6,19.2,214.0,800.0,68.0,87.0,129.0,0.38,0.03,197.0,21.0,0.6,138.0,4.4,108.0,10.5,6.3,6.6,4.1,1.6,50.0,29.0,50.0,1.0
3750,quinidine,15 day,Middle,700.0,15.1,43.3,61.8,21.6,35.0,5.0,113.9,115.7,15.0,1.0,0.0,2.0,81.0,15.8,23.1,344.0,1580.0,72.0,160.0,163.0,0.0,0.0,199.0,17.0,0.2,141.0,4.2,105.0,11.0,8.4,5.9,3.0,1.0,64.0,43.0,183.0,3.0
3751,nitrofurantoin,8 day,Middle,665.0,13.8,39.1,58.7,20.7,35.2,4.5,120.2,157.7,13.0,1.0,0.0,3.0,83.0,12.5,19.0,234.0,1081.0,74.0,230.0,169.0,0.19,0.15,204.0,17.0,0.4,142.0,4.0,103.0,10.5,7.1,5.8,3.2,1.2,69.0,39.0,287.0,1.0
3752,mexiletine,15 day,Low,634.0,12.7,39.8,62.7,20.1,32.0,7.0,102.3,86.1,18.0,0.0,0.0,1.0,79.0,16.3,22.4,269.0,1360.0,92.0,94.0,159.0,0.0,0.0,201.0,20.0,0.2,143.0,4.0,107.0,10.5,7.0,6.2,3.1,1.0,66.0,38.0,201.0,2.0
3753,ketoconazole,8 day,High,611.0,12.9,38.5,63.0,21.2,33.6,6.0,123.4,81.4,23.0,1.0,0.0,1.0,74.0,16.1,21.4,327.0,1279.0,55.0,43.0,103.0,0.0,0.0,196.0,18.0,0.1,144.0,3.7,105.0,10.8,7.1,5.9,3.1,1.1,68.0,44.0,200.0,1.0
3754,promethazine,29 day,Low,788.0,15.0,43.6,55.3,19.1,34.5,2.4,93.0,101.0,22.0,1.0,0.0,2.0,74.0,17.0,21.4,308.0,987.0,53.0,137.0,121.0,0.0,0.0,177.0,18.0,0.2,144.0,3.9,108.0,9.9,5.8,5.7,3.1,1.2,87.0,55.0,142.0,2.0
3755,azathioprine,8 day,Low,658.0,14.3,40.1,60.9,21.8,35.8,5.8,106.3,140.8,15.0,1.0,0.0,2.0,81.0,16.2,19.1,301.0,1552.0,88.0,126.0,167.0,0.0,0.0,179.0,19.0,0.1,143.0,4.4,109.0,10.3,6.0,5.5,3.1,1.3,65.0,41.0,177.0,1.0
3756,carbon tetrachloride,15 day,Middle,716.0,14.3,41.9,58.5,19.9,34.0,3.6,105.4,171.2,11.0,1.0,0.0,3.0,85.0,12.6,24.6,219.0,963.0,53.0,61.0,120.0,0.14,0.06,190.0,16.0,0.4,142.0,3.7,104.0,10.7,7.2,5.6,3.4,1.5,129.0,77.0,273.0,2.0
3757,dantrolene,15 day,Low,710.0,14.6,43.2,60.8,20.5,33.7,5.3,118.4,115.0,5.0,0.0,0.0,3.0,92.0,11.4,17.4,227.0,840.0,66.0,125.0,133.0,0.35,0.0,223.0,20.0,0.5,142.0,4.3,106.0,10.3,5.1,5.9,3.9,2.0,71.0,37.0,85.0,2.0
3758,fenofibrate,8 day,High,603.0,12.5,39.1,64.7,20.7,32.0,5.7,131.4,71.3,21.0,1.0,0.0,3.0,72.0,14.7,18.1,212.0,1348.0,72.0,36.0,159.0,0.03,0.02,175.0,18.0,0.2,147.0,4.6,106.0,11.3,7.7,6.4,3.1,0.9,82.0,40.0,139.0,1.0
3759,hydroxyzine,8 day,High,619.0,12.8,38.1,61.5,20.7,33.6,4.6,124.7,91.0,12.0,1.0,0.0,3.0,84.0,14.9,16.6,300.0,1465.0,85.0,53.0,157.0,0.05,0.02,178.0,18.0,0.2,142.0,4.0,103.0,10.9,8.4,5.6,2.6,0.9,53.0,34.0,53.0,1.0
3760,nitrofurantoin,29 day,Low,787.0,14.7,43.0,54.6,18.7,34.3,3.3,89.9,146.9,13.0,0.0,0.0,2.0,84.0,12.3,18.8,245.0,1211.0,53.0,143.0,137.0,0.18,0.13,258.0,20.0,0.5,137.0,3.7,98.0,10.6,6.9,6.1,3.3,1.2,57.0,35.0,143.0,1.0
3761,quinidine,29 day,High,842.0,14.5,42.5,50.5,17.2,34.1,2.9,118.4,131.0,21.0,1.0,0.0,3.0,73.0,15.8,22.1,315.0,1161.0,78.0,98.0,147.0,0.0,0.0,196.0,17.0,0.2,141.0,5.0,104.0,10.8,8.1,6.1,3.0,1.0,63.0,42.0,135.0,3.0
3762,tacrine,8 day,High,654.0,13.7,38.4,58.7,20.9,35.6,5.0,134.6,107.8,23.0,0.0,0.0,3.0,73.0,17.0,23.9,320.0,1002.0,75.0,85.0,148.0,0.03,0.0,179.0,14.0,0.2,141.0,4.0,106.0,11.0,10.3,5.6,3.0,1.2,76.0,36.0,287.0,1.0
